Open Time,Close Time,Duration,Open Price,Close Price,Pips,Lots,Profit,Symbol,Type,Open Hour
2026-02-02 01:44:52,2026-02-02 01:45:26,00:00:34,183.951,183.947,0.4,2,5.16,EURJPY,Sell,1
2026-02-02 08:06:54,2026-02-02 11:21:56,03:15:02,1.1846,1.185,4,5,200,EURUSD,Buy,8
2026.02.04 07:35:38,2026-02-04 07:46:50,,1.3716,1.372,-3,1,$-45,GBPUSD,Sell,
2026-02-02 11:07:46,2026-02-02 21:36:06,10:28:20,25245.8,25779.6,533.8,3,16004.1,NDX100,Buy,11
2026-02-02 01:31:53,2026-02-02 01:34:33,00:02:40,6905.89,6911.83,5.94,3,178.2,SPX500,Buy,1
2026-02-02 17:50:32,2026-02-02 17:51:54,00:01:22,66.325,66.337,12,3,3.6,UKOUSD,Buy,17
2026-02-02 02:00:49,2026-02-02 02:09:11,00:08:22,48846.7,48817.4,-29.3,3,876.9,US30,Sell,2
2026-02-02 08:08:42,2026-02-02 13:01:05,04:52:23,48487.1,48751.2,2641,3,7923,US30,Buy,8
2026.02.02 14:16:04,2026-02-02 20:41:40,,48847.5,49362.2,0,2,$-10293.4,US30,Sell,
2026.02.02 18:05:05,2026-02-02 20:41:43,,49287.8,49363.2,0,1,$-753.7,US30,Sell,
2026-02-02 01:18:07,2026-02-02 02:05:58,00:47:51,78.802,83.507,4705,3,70560,XAGUSD,Buy,1
2026-02-02 01:57:03,2026-02-02 01:57:32,00:00:29,82.251,81.406,-845,3,12390,XAGUSD,Sell,1
2026-02-02 02:06:02,2026-02-03 01:15:42,23:09:40,83.335,81.207,-2128,3,31920,XAGUSD,Sell,2
2026-02-02 02:08:37,2026-02-02 07:59:26,05:50:49,83.752,76.79,-6962,3,104430,XAGUSD,Sell,2
2026-02-02 06:23:06,2026-02-02 08:28:58,02:05:52,79.13,75.222,-3908,3,58620,XAGUSD,Sell,6
2026-02-02 08:05:22,2026-02-02 13:01:05,04:55:43,76.653,81.866,5213,3,78195,XAGUSD,Buy,8
2026-02-02 08:29:01,2026-02-03 08:30:55,"1 day, 0:01:54",74.82,84.682,9862,3,148440,XAGUSD,Buy,8
2026-02-02 13:15:34,2026-02-02 17:52:31,04:36:57,83.005,76.65,-6355,3,95325,XAGUSD,Sell,13
2026-02-02 17:58:56,2026-02-03 01:20:51,07:21:55,76.033,81.409,5376,3,80640,XAGUSD,Buy,17
2026-02-03 01:15:49,2026-02-05 03:15:59,"2 days, 2:00:10",81.162,87.903,6741,3,101085,XAGUSD,Buy,1
2026-02-03 09:40:12,2026-02-03 20:33:35,10:53:23,86.603,83.225,-3378,3,50670,XAGUSD,Sell,9
2026-02-03 12:36:22,2026-02-04 01:36:54,13:00:32,86.707,84.216,-2491,3,37365,XAGUSD,Sell,12
2026-02-03 20:36:01,2026-02-03 21:51:26,01:15:25,83.738,83.726,-12,3,195,XAGUSD,Buy,20
2026-02-04 16:19:05,2026-02-04 17:06:09,00:47:04,91.282,89.984,-1298,3,19470,XAGUSD,Sell,16
2026-02-05 03:16:07,2026-02-05 04:57:02,01:40:55,87.973,76.465,-11508,3,172650,XAGUSD,Sell,3
2026.02.02 01:18:07,2026-02-02 02:05:58,00:47:51,78.802,83.507,-9,3,$70560,XAGUSD,Buy,
2026.02.02 02:06:02,2026-02-03 01:15:42,09:09:40,83.335,81.207,-9,3,$31920,XAGUSD,Sell,
2026.02.02 02:36:46,2026-02-02 01:56:09,,87.507,80.5,,,$105105,XAGUSD,,
2026.02.02 03:11:41,2026-02-02 12:05:52,,81.218,82.102,-9,3,$13260,XAGUSD,Buy,
2026.02.02 12:06:01,2026-02-02 18:00:59,,82.087,75.856,-9,3,$93465,XAGUSD,Sell,
2026.02.02 18:04:16,2026-02-03 02:01:52,,76.619,82.846,-9,3,$93405,XAGUSD,Buy,
2026.02.03 01:15:49,2026-02-05 03:15:59,2 days 02:00:10,81.162,87.903,-9,3,$101085,XAGUSD,Buy,
2026.02.03 02:31:39,2026-02-03 04:44:58,,83.59,81.412,-9,3,$32670,XAGUSD,Sell,
2026.02.03 04:52:11,2026-02-03 06:16:09,,81.761,83.176,-9,3,$21225,XAGUSD,Buy,
2026.02.03 08:49:18,2026-02-03 22:18:56,,84.551,84.824,-9,3,$-4095,XAGUSD,Sell,
2026.02.03 12:36:22,2026-02-04 01:36:54,13:00:32,86.707,84.216,-9,3,$37365,XAGUSD,Sell,
2026.02.03 22:19:00,2026-02-03 23:01:00,,84.804,84.896,-9,3,$1380,XAGUSD,Buy,
2026.02.04 16:19:05,2026-02-04 17:06:09,00:46:54,91.282,89.984,-9,3,$19470,XAGUSD,Sell,
2026.02.05 03:16:07,2026-02-05 04:57:02,01:40:55,87.973,76.465,-9,3,$172650,XAGUSD,Sell,
2026-02-02 01:18:08,2026-02-02 02:05:59,00:47:51,4729.04,4784.85,5581,3,16743,XAUUSD,Buy,1
2026-02-02 01:19:49,2026-02-02 01:34:33,00:14:44,4716.29,4745.08,2879,1,2879,XAUUSD,Buy,1
2026-02-02 01:19:59,2026-02-02 01:34:33,00:14:34,4719.27,4745.08,2581,1,2581,XAUUSD,Buy,1
2026-02-02 01:20:00,2026-02-02 01:34:33,00:14:33,4718.42,4745.08,2666,1,2666,XAUUSD,Buy,1
2026-02-02 01:42:52,2026-02-02 01:47:36,00:04:44,4771.01,4726.85,-4416,1,4416,XAUUSD,Sell,1
2026-02-02 01:42:57,2026-02-02 01:47:36,00:04:39,4775.06,4726.85,-4821,1,4821,XAUUSD,Sell,1
2026-02-02 02:06:22,2026-02-03 01:15:43,23:09:21,4781.14,4717.3,-6384,3,19182,XAUUSD,Sell,2
2026-02-02 02:09:18,2026-02-02 07:59:26,05:50:08,4807.68,4555.96,-25172,3,75516,XAUUSD,Sell,2
2026-02-02 06:23:16,2026-02-02 08:28:58,02:05:42,4679.37,4480.32,-19905,3,59715,XAUUSD,Sell,6
2026-02-02 08:08:56,2026-02-02 13:01:05,04:52:09,4537.13,4706.79,16966,3,50898,XAUUSD,Buy,8
2026-02-02 08:29:09,2026-02-03 08:30:56,"1 day, 0:01:47",4480.03,4869.99,38996,3,117117,XAUUSD,Buy,8
2026-02-02 13:10:42,2026-02-02 13:12:55,00:02:13,4726.29,4726.97,68,3,204,XAUUSD,Buy,13
2026-02-02 13:14:19,2026-02-02 17:52:31,04:38:12,4741.34,4651.8,-8954,3,26862,XAUUSD,Sell,13
2026-02-02 17:57:04,2026-02-03 01:20:51,07:23:47,4636.01,4733.79,9778,3,29334,XAUUSD,Buy,17
2026-02-03 01:15:52,2026-02-05 03:15:59,"2 days, 2:00:07",4718.22,4956.02,23780,3,71340,XAUUSD,Buy,1
